Hotel Name,Ratings,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46
White House Hotel,6,Restaurant,Bar/Lounge,Security,24 Electricity,Adequate Parking,Meeting Rooms,Swimming Pool,Fitness facilities,Laundry,Wireless Internet,Conference facility,King sized bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Popoterry Hotel IIi,,Single Bed,Air Conditioning,Safe,Fan,Kitchen,Television,DSTV,Shower,Wine/water,Breakfast,Room Service,Bar,24 hours Electricity,Parking Garage,Security Guard,Bar/Lounge,Night Club,Event Hall,Gym,Suya Spot,Electric Fence,CCTV camera,Toiletries,Luggage Storage,,,,,,,,,,,,,,,,,,,,,,
Etals Hotels & Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Center Hotel,,Adequate Parking,Valet Parking,Security Guard,Car Hire,Room service 24h,concierge,Ironing,Air Conditioning,Bar/Lounge,Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rita Lori Hotel,7.1,Bar/Lounge,Security,24 Electricity,Swimming Pool,Fitness facilities,King sized bed,Adequate Parking,Air Conditioning,Restaurant,Swimming Pool,Wardrobe,Gym,snooker board,Security Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood peckers Hotel,7.6,Restaurant,Adequate Parking,Security,Bar/Lounge,Air Conditioning,Flatscreen TV,DSTV,King sized bed,Kitchen,Fenced compound,Inter Comm Telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAVA HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diddy hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelin Height Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Lawa,7.9,Restaurant,Bar/Lounge,Security,Wireless Internet,24 Electricity,Adequate Parking,Continental Breakfast,King sized bed,Air Conditioning,DSTV,Fenced compound,Wired Internet,Security Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haile Selassies Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De-Signal Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharrylesh hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaaz Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citycentre hotel,,Adequate Parking,Security,Television,Laundry,Sofa,Car Hire,Air Conditioning,Room Service,Fenced compound,Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger Palace Hotel,6.4,Security,Wi-fi Internet Access,Airport pickup,Laundry,Car Hire,Room Service,concierge,Bar/Lounge,Restaurant,Air Conditioning,24 hours Electricity,Adequate Parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rita Lori Hotels,7.1,Bar/Lounge,Security,24 Electricity,Swimming Pool,Fitness facilities,King sized bed,Adequate Parking,Air Conditioning,Restaurant,Swimming Pool,Wardrobe,Gym,snooker board,Security Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ijesha hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excellence Hotel,,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,24 Electricity,Swimming Pool,House Keeping,Room Service,DSTV,Air Conditioning,Refrigerator,Desk,Television,Toiletries,Fitness facilities,Flatscreen TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagos Airport Hotel,6.2,Security,Air Conditioning,24 Electricity,Adequate Parking,Parking Garage,24 hours Electricity,DSTV,Air Conditioning,Toiletries,ATM,Beauty Service,Airline Desk,Laundry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Wood Hotel,,King sized bed,Wi-fi Internet Access,Air Conditioning,Telephone,Wardrobe,Fan,Kitchen,Television,DSTV,Refrigerator,Shower,Wine/water,Room Service,Bar,24 hours Electricity,Parking Garage,Laundry,Security Guard,Bar/Lounge,Event Hall,Restaurant,Taxi Pickup,CCTV camera,,,,,,,,,,,,,,,,,,,,,,,
"CHAPTERS HOTEL, Fagba-Iju, Lagos.",,Bar/Lounge,Security,Swimming Pool,Adequate Parking,Free parking,Wardrobe,Shower,DSTV,Room Service,House Keeping,Toiletries,Asun Spot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trident hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excellence Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapters Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesterfield Hotel,,Restaurant,Bar/Lounge,Security,Wireless Internet,Air Conditioning,Adequate Parking,Luggage Storage,Dry Cleaning,Clothing Iron,24 hours Electricity,Bar,Gym,Dinner,Lunch,Car Hire,Swimming Pool,Room Service,Air Conditioning,Adequate Parking Space,Swimming Pool,Breakfast,Tennis court,concierge,,,,,,,,,,,,,,,,,,,,,,,
AY hotel bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oragon Hotel & Suites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dover Hotel,7.7,Bar/Lounge,Security,Air Conditioning,24 Electricity,Adequate Parking,Dry Cleaning,DSTV,Telephone,Refrigerator,Television,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watercress Hotel,8.7,Restaurant,Security,Adequate Parking Space,Telephone,Wardrobe,Room Service,24 hours Electricity,24 hour Front Desk,Swimming Pool,Bar,Pool Bar,Elevator/Lift,Event Hall,Key Card system,Gym,House Keeping,CCTV camera,Laundry,Car rental,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAPITAL CITY HOTEL, Oba Akran Avenue, Ikeja.",3.3,Adequate Parking,Security,24 Electricity,Air Conditioning,Bar/Lounge,Restaurant,Toiletries,Fenced compound,Generator set,Television,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capital city hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
